idx,skill_match_score,experience_match_score,semantic_similarity_score,domain_match,match_score,match_label,num_match_label
67,0.0,0.78,0.5481,0,0.08,no match,0.0
68,0.0,1.0,0.4817,0,0.62,partial match,0.5
69,0.11,1.0,0.6503,1,0.73,partial match,0.5
70,0.33,1.0,0.6555,1,0.45,partial match,0.5
71,0.0,1.0,0.5523,0,0.37,no match,0.0
72,0.6,1.0,0.6365,1,0.87,match,1.0
73,0.0,1.0,0.5316,0,0.16,no match,0.0
74,0.0,1.0,0.6396,0,0.2,no match,0.0
75,0.0,1.0,0.4131,0,0.14,no match,0.0
76,0.0,1.0,0.4904,0,0.13,no match,0.0
77,0.8,1.0,0.6707,1,0.75,match,1.0
78,0.33,1.0,0.5722,1,0.82,match,1.0
79,0.0,1.0,0.6305,0,0.29,no match,0.0
80,0.0,0.43,0.4804,0,0.43,partial match,0.5
81,1.0,1.0,0.6688,1,0.81,match,1.0
82,0.0,1.0,0.638,0,0.71,partial match,0.5
83,0.33,0.83,0.5789,1,0.17,no match,0.0
84,0.4,1.0,0.6464,1,0.95,match,1.0
85,0.25,1.0,0.6543,1,0.93,match,1.0
86,0.5,1.0,0.6674,0,0.92,match,1.0
87,0.17,1.0,0.5782,1,0.31,no match,0.0
88,0.0,1.0,0.4862,0,0.12,no match,0.0
89,0.0,1.0,0.578,0,0.83,match,1.0
90,0.0,1.0,0.5504,0,0.06,no match,0.0
91,0.5,1.0,0.6425,1,0.75,match,1.0
92,0.25,0.6,0.6825,1,0.85,match,1.0
93,0.2,1.0,0.5476,1,0.94,match,1.0
94,0.0,1.0,0.4942,0,0.18,no match,0.0
95,0.67,1.0,0.6619,1,0.89,match,1.0
96,0.0,0.25,0.6844,0,0.72,partial match,0.5
97,0.0,1.0,0.5638,0,0.26,no match,0.0
98,0.0,1.0,0.3937,0,0.39,no match,0.0
99,0.29,1.0,0.6001,0,0.89,match,1.0
100,0.0,1.0,0.4653,0,0.21,no match,0.0
101,0.0,1.0,0.5379,0,0.73,partial match,0.5
102,0.0,1.0,0.6746,0,0.89,match,1.0
103,0.14,1.0,0.4426,0,0.46,partial match,0.5
104,0.2,1.0,0.4754,0,0.47,partial match,0.5
105,0.0,1.0,0.6035,0,0.53,partial match,0.5
106,0.2,1.0,0.6875,0,0.92,match,1.0
107,0.0,1.0,0.5678,0,0.15,no match,0.0
108,0.4,1.0,0.6415,0,0.79,match,1.0
109,0.0,0.67,0.5757,0,0.22,no match,0.0
110,0.6,0.33,0.7285,1,0.93,match,1.0
111,0.33,1.0,0.6557,1,0.82,match,1.0
112,0.0,1.0,0.3759,0,0.35,no match,0.0
113,0.4,0.86,0.72,1,0.91,match,1.0
114,1.0,1.0,0.7479,1,0.95,match,1.0
115,0.22,0.38,0.6563,0,0.98,match,1.0
116,0.33,1.0,0.697,0,0.66,partial match,0.5
117,0.0,0.4,0.5027,0,0.34,no match,0.0
118,0.29,1.0,0.6871,0,0.72,partial match,0.5
119,0.0,1.0,0.5483,0,0.15,no match,0.0
120,0.2,0.43,0.6202,1,0.05,no match,0.0
121,0.1,1.0,0.526,0,0.45,partial match,0.5
122,0.4,1.0,0.662,0,0.82,match,1.0
123,0.0,1.0,0.5085,0,0.13,no match,0.0
124,0.0,0.86,0.5652,0,0.29,no match,0.0
125,0.29,0.88,0.6446,1,0.9,match,1.0
126,0.0,1.0,0.5097,0,0.37,no match,0.0
127,0.0,1.0,0.3907,0,0.11,no match,0.0
128,0.17,1.0,0.7259,1,0.69,partial match,0.5
129,0.29,1.0,0.6724,1,0.43,partial match,0.5
130,0.0,0.86,0.634,0,0.1,no match,0.0
131,0.25,1.0,0.4835,1,0.33,no match,0.0
132,0.8,1.0,0.7658,1,0.95,match,1.0
133,0.5,1.0,0.6047,1,0.77,match,1.0
134,0.0,0.56,0.5823,0,0.28,no match,0.0
135,0.44,1.0,0.6674,1,0.64,partial match,0.5
136,0.0,0.62,0.5734,0,0.51,partial match,0.5
137,0.33,1.0,0.7037,1,0.86,match,1.0
138,0.0,1.0,0.66,0,0.63,partial match,0.5
139,0.5,1.0,0.5827,0,0.7,partial match,0.5
140,0.33,1.0,0.6716,0,0.8,match,1.0
141,0.33,1.0,0.6811,1,0.77,match,1.0
142,0.2,1.0,0.6493,1,0.9,match,1.0
143,0.5,1.0,0.6078,0,0.75,match,1.0
144,0.11,1.0,0.5848,0,0.67,partial match,0.5
145,0.5,0.86,0.7144,1,0.96,match,1.0
146,0.33,1.0,0.7574,1,0.86,match,1.0
147,0.0,1.0,0.6663,0,0.48,partial match,0.5
148,0.0,1.0,0.423,0,0.3,no match,0.0
149,0.5,0.6,0.6225,1,0.59,partial match,0.5
150,0.25,1.0,0.6385,1,0.59,partial match,0.5
151,0.1,1.0,0.72,0,0.71,partial match,0.5
152,0.0,0.29,0.5545,0,0.58,partial match,0.5
153,0.0,1.0,0.5328,0,0.55,partial match,0.5
154,0.0,1.0,0.5001,0,0.62,partial match,0.5
155,0.0,1.0,0.724,0,0.74,partial match,0.5
156,0.5,1.0,0.6437,1,0.89,match,1.0
157,0.4,1.0,0.6914,1,0.83,match,1.0
158,0.5,1.0,0.6719,1,0.81,match,1.0
159,0.5,0.75,0.6758,0,0.56,partial match,0.5
160,0.0,1.0,0.6263,0,0.24,no match,0.0
161,0.67,1.0,0.6821,1,0.87,match,1.0
162,0.43,1.0,0.6212,1,0.69,partial match,0.5
163,0.0,1.0,0.4595,1,0.52,partial match,0.5
164,0.0,0.86,0.5066,0,0.13,no match,0.0
165,0.0,1.0,0.4551,0,0.15,no match,0.0
166,0.2,0.5,0.5806,0,0.7,partial match,0.5
167,0.8,1.0,0.6966,1,0.54,partial match,0.5
168,0.4,0.5,0.6898,1,0.71,partial match,0.5
169,0.0,1.0,0.751,0,0.7,partial match,0.5
170,0.2,1.0,0.6237,0,0.47,partial match,0.5
171,0.27,0.38,0.5673,0,0.77,match,1.0
172,0.2,0.8,0.687,1,0.88,match,1.0
173,0.0,1.0,0.5339,0,0.06,no match,0.0
174,0.0,0.43,0.534,0,0.25,no match,0.0
175,0.11,0.62,0.5592,0,0.56,partial match,0.5
176,0.17,1.0,0.7173,1,0.41,partial match,0.5
177,0.0,0.5,0.6846,0,0.42,partial match,0.5
178,0.0,1.0,0.4889,0,0.5,partial match,0.5
179,0.0,0.62,0.6036,0,0.23,no match,0.0
180,0.0,1.0,0.4763,0,0.11,no match,0.0
181,0.0,1.0,0.4717,0,0.34,no match,0.0
182,0.25,1.0,0.6937,0,0.82,match,1.0
183,0.25,1.0,0.6838,1,0.58,partial match,0.5
184,0.0,0.38,0.6538,0,0.82,match,1.0
185,0.17,0.38,0.6941,1,0.74,partial match,0.5
186,0.5,0.5,0.6142,1,0.96,match,1.0
187,0.0,1.0,0.5583,0,0.21,no match,0.0
188,0.0,1.0,0.571,0,0.55,partial match,0.5
189,0.5,1.0,0.6918,1,0.97,match,1.0
190,0.0,0.5,0.398,0,0.23,no match,0.0
191,0.11,1.0,0.5968,0,0.45,partial match,0.5
192,0.33,1.0,0.7158,1,0.42,partial match,0.5
193,0.0,1.0,0.5798,1,0.12,no match,0.0
194,0.0,1.0,0.6346,0,0.93,match,1.0
195,0.5,0.33,0.6771,1,0.79,match,1.0
196,0.33,1.0,0.7258,1,0.88,match,1.0
197,0.0,1.0,0.5511,0,0.21,no match,0.0
198,0.25,1.0,0.7051,1,0.4,partial match,0.5
199,0.0,1.0,0.566,0,0.07,no match,0.0
200,0.25,1.0,0.6328,1,0.12,no match,0.0
201,0.0,1.0,0.4903,0,0.55,partial match,0.5
202,0.0,0.83,0.6314,1,0.2,no match,0.0
203,0.0,1.0,0.5712,0,0.15,no match,0.0
204,0.0,1.0,0.6282,1,0.67,partial match,0.5
205,0.0,1.0,0.4615,0,0.07,no match,0.0
206,0.2,0.43,0.6897,0,0.67,partial match,0.5
207,0.0,0.71,0.6688,0,0.94,match,1.0
208,0.0,0.38,0.6765,0,0.48,partial match,0.5
209,0.45,1.0,0.6653,1,0.81,match,1.0
210,0.56,0.67,0.6191,1,0.77,match,1.0
211,0.29,1.0,0.6499,1,0.8,match,1.0
212,0.0,1.0,0.4634,0,0.7,partial match,0.5
213,0.0,1.0,0.5923,0,0.35,no match,0.0
214,0.0,1.0,0.7226,0,0.25,no match,0.0
215,0.0,1.0,0.4914,0,0.23,no match,0.0
216,0.25,1.0,0.6596,1,0.51,partial match,0.5
217,0.14,1.0,0.5782,1,0.98,match,1.0
218,0.12,1.0,0.5421,0,0.51,partial match,0.5
219,0.33,1.0,0.6605,0,0.45,partial match,0.5
220,0.0,1.0,0.4907,0,0.06,no match,0.0
221,0.0,0.8,0.3835,0,0.36,no match,0.0
222,0.0,1.0,0.5371,0,0.3,no match,0.0
223,0.17,1.0,0.5205,0,0.23,no match,0.0
224,0.12,1.0,0.5618,1,0.43,partial match,0.5
225,0.0,1.0,0.602,0,0.63,partial match,0.5
226,0.43,1.0,0.7127,1,0.97,match,1.0
227,0.17,1.0,0.7151,1,0.83,match,1.0
228,0.33,0.75,0.6824,0,0.77,match,1.0
229,0.33,1.0,0.7075,1,0.5,partial match,0.5
230,0.0,1.0,0.5843,0,0.06,no match,0.0
231,0.22,1.0,0.5998,1,0.87,match,1.0
232,0.33,1.0,0.718,1,0.94,match,1.0
233,0.14,1.0,0.6816,1,0.96,match,1.0
234,0.0,1.0,0.4877,0,0.21,no match,0.0
235,0.0,1.0,0.4,0,0.11,no match,0.0
236,0.0,0.56,0.6147,0,0.32,no match,0.0
237,0.2,0.89,0.5925,0,0.14,no match,0.0
238,0.4,1.0,0.5881,1,0.54,partial match,0.5
239,0.17,1.0,0.6541,0,0.34,no match,0.0
240,0.25,1.0,0.7238,1,0.47,partial match,0.5
241,0.0,1.0,0.4941,0,0.09,no match,0.0
242,0.0,1.0,0.5133,0,0.23,no match,0.0
243,0.17,1.0,0.6385,1,0.9,match,1.0
244,0.6,1.0,0.72,1,0.96,match,1.0
245,0.17,1.0,0.6881,1,0.85,match,1.0
246,0.5,0.75,0.6035,0,0.51,partial match,0.5
247,0.5,1.0,0.6741,1,0.9,match,1.0
248,0.0,1.0,0.5096,0,0.17,no match,0.0
249,0.0,1.0,0.5674,0,0.7,partial match,0.5
250,0.33,1.0,0.6965,1,0.97,match,1.0
251,0.43,0.75,0.7223,1,0.9,match,1.0
252,0.11,1.0,0.538,0,0.23,no match,0.0
253,0.5,1.0,0.5935,1,0.8,match,1.0
254,0.0,1.0,0.6736,0,0.45,partial match,0.5
255,0.0,1.0,0.6261,0,0.46,partial match,0.5
256,0.1,1.0,0.648,1,0.24,no match,0.0
257,0.17,0.57,0.6223,1,0.9,match,1.0
258,0.0,0.33,0.5176,0,0.31,no match,0.0
259,0.0,0.4,0.4159,0,0.41,partial match,0.5
260,0.38,1.0,0.692,1,0.98,match,1.0
261,0.0,1.0,0.5411,0,0.12,no match,0.0
262,0.22,1.0,0.5928,1,0.49,partial match,0.5
263,0.09,1.0,0.623,0,0.6,partial match,0.5
264,0.0,0.83,0.4658,0,0.58,partial match,0.5
265,0.0,1.0,0.6965,1,0.89,match,1.0
266,0.3,0.67,0.6753,1,0.78,match,1.0
267,0.43,1.0,0.6957,1,0.85,match,1.0
268,0.0,1.0,0.4004,0,0.09,no match,0.0
269,0.0,1.0,0.6092,0,0.11,no match,0.0
270,0.0,1.0,0.511,1,0.1,no match,0.0
271,0.12,1.0,0.6016,1,0.77,match,1.0
272,0.0,1.0,0.5058,0,0.18,no match,0.0
273,0.0,1.0,0.5692,0,0.4,partial match,0.5
274,0.5,0.67,0.7081,1,0.78,match,1.0
275,0.25,1.0,0.5382,0,0.28,no match,0.0
276,0.33,1.0,0.6864,0,0.97,match,1.0
277,0.75,0.71,0.6511,0,0.74,partial match,0.5
278,0.0,1.0,0.4925,1,0.24,no match,0.0
279,0.0,0.33,0.4787,0,0.31,no match,0.0
280,0.25,1.0,0.7397,1,0.94,match,1.0
281,0.11,0.89,0.6175,0,0.09,no match,0.0
282,0.0,1.0,0.5839,0,0.67,partial match,0.5
283,0.0,1.0,0.669,0,0.7,partial match,0.5
284,0.0,1.0,0.5112,0,0.36,no match,0.0
285,0.17,0.5,0.6431,1,0.05,no match,0.0
286,0.0,0.62,0.524,0,0.2,no match,0.0
287,0.29,1.0,0.7211,0,0.62,partial match,0.5
288,0.29,1.0,0.6987,1,0.78,match,1.0
289,0.0,1.0,0.4838,0,0.51,partial match,0.5
290,0.0,1.0,0.4218,0,0.37,no match,0.0
291,0.18,1.0,0.5989,0,0.7,partial match,0.5
292,0.0,1.0,0.4905,0,0.07,no match,0.0
293,0.18,1.0,0.5626,0,0.52,partial match,0.5
294,0.67,1.0,0.6497,1,0.44,partial match,0.5
295,0.29,1.0,0.6995,1,0.87,match,1.0
296,0.2,0.71,0.6606,1,0.82,match,1.0
297,0.0,0.67,0.5101,0,0.22,no match,0.0
298,0.33,1.0,0.6888,1,0.77,match,1.0
299,0.67,1.0,0.7638,0,0.58,partial match,0.5
300,0.5,0.25,0.6923,0,0.44,partial match,0.5
301,0.27,1.0,0.5602,1,0.96,match,1.0
302,0.2,0.38,0.7146,0,0.73,partial match,0.5
303,0.0,1.0,0.5596,0,0.08,no match,0.0
304,0.25,0.33,0.6783,1,0.84,match,1.0
305,0.44,0.78,0.6452,1,0.78,match,1.0
306,1.0,0.78,0.7144,0,0.42,partial match,0.5
307,0.5,1.0,0.656,1,0.8,match,1.0
308,0.0,1.0,0.5308,1,0.19,no match,0.0
309,0.33,1.0,0.5648,1,0.18,no match,0.0
310,0.6,1.0,0.5682,1,0.84,match,1.0
311,0.33,0.4,0.646,0,0.19,no match,0.0
312,0.5,1.0,0.6525,1,0.77,match,1.0
313,0.25,1.0,0.651,1,0.61,partial match,0.5
314,0.2,1.0,0.7229,0,0.75,match,1.0
315,0.33,1.0,0.6514,0,0.83,match,1.0
316,0.0,1.0,0.496,0,0.39,no match,0.0
317,0.38,1.0,0.6898,1,0.59,partial match,0.5
318,0.0,0.8,0.3647,0,0.2,no match,0.0
319,0.6,1.0,0.6283,1,0.42,partial match,0.5
320,0.5,1.0,0.5747,1,0.09,no match,0.0
321,0.5,1.0,0.6512,0,0.87,match,1.0
322,0.43,0.62,0.7045,1,0.78,match,1.0
323,0.17,0.33,0.6369,0,0.49,partial match,0.5
324,0.0,1.0,0.5683,0,0.45,partial match,0.5
325,0.2,1.0,0.5917,1,0.79,match,1.0
326,0.33,1.0,0.7271,0,0.83,match,1.0
327,0.5,1.0,0.694,0,0.8,match,1.0
328,0.0,1.0,0.5682,0,0.32,no match,0.0
329,0.33,0.5,0.6502,1,0.57,partial match,0.5
330,0.0,1.0,0.6487,0,0.52,partial match,0.5
331,0.0,1.0,0.5479,0,0.39,no match,0.0
332,0.0,1.0,0.4857,0,0.14,no match,0.0
333,0.0,1.0,0.6481,0,0.71,partial match,0.5
334,0.0,0.57,0.6026,0,0.13,no match,0.0
335,0.0,0.8,0.6198,0,0.63,partial match,0.5
336,0.29,0.75,0.6694,1,0.92,match,1.0
337,0.2,0.78,0.7003,0,0.94,match,1.0
338,0.5,1.0,0.6378,1,0.94,match,1.0
339,0.5,1.0,0.6529,0,0.98,match,1.0
340,0.0,1.0,0.4745,0,0.38,no match,0.0
341,0.0,1.0,0.5847,0,0.18,no match,0.0
342,0.0,0.88,0.6448,0,0.93,match,1.0
343,0.33,1.0,0.6749,1,0.47,partial match,0.5
344,0.17,1.0,0.5808,1,0.53,partial match,0.5
345,0.4,1.0,0.6354,1,0.61,partial match,0.5
346,0.0,1.0,0.5226,0,0.29,no match,0.0
347,0.0,0.43,0.491,0,0.15,no match,0.0
348,0.0,0.4,0.5804,0,0.61,partial match,0.5
349,0.0,0.67,0.4569,0,0.37,no match,0.0
350,0.0,1.0,0.5233,0,0.38,no match,0.0
351,0.25,1.0,0.6272,1,0.81,match,1.0
352,0.33,0.6,0.6559,0,0.46,partial match,0.5
353,0.2,0.86,0.5931,0,0.21,no match,0.0
354,0.0,0.75,0.5004,0,0.08,no match,0.0
355,0.5,0.5,0.6747,1,0.87,match,1.0
356,0.0,1.0,0.5132,0,0.73,partial match,0.5
357,0.5,1.0,0.6895,1,0.81,match,1.0
358,0.0,1.0,0.5682,0,0.6,partial match,0.5
359,0.5,1.0,0.6528,0,0.86,match,1.0
360,0.33,0.57,0.6738,0,0.52,partial match,0.5
361,0.4,0.4,0.6644,1,0.8,match,1.0
362,0.0,1.0,0.7192,1,0.73,partial match,0.5
363,0.5,1.0,0.7196,1,0.72,partial match,0.5
364,0.0,1.0,0.6256,0,0.14,no match,0.0
365,0.0,1.0,0.6717,0,0.61,partial match,0.5
366,0.0,1.0,0.5839,0,0.43,partial match,0.5
367,0.0,1.0,0.6178,0,0.28,no match,0.0
368,0.0,1.0,0.6278,0,0.87,match,1.0
369,0.0,1.0,0.5577,0,0.19,no match,0.0
370,0.0,0.83,0.5532,0,0.06,no match,0.0
371,0.0,1.0,0.6065,0,0.15,no match,0.0
372,0.0,1.0,0.4579,0,0.07,no match,0.0
373,0.33,1.0,0.5224,0,0.31,no match,0.0
374,0.67,0.38,0.6781,1,0.6,partial match,0.5
375,0.0,0.89,0.7139,0,0.86,match,1.0
376,0.11,1.0,0.644,0,0.25,no match,0.0
377,0.33,1.0,0.6718,0,0.97,match,1.0
378,0.22,0.56,0.638,1,0.68,partial match,0.5
379,0.6,1.0,0.5967,1,0.97,match,1.0
380,0.4,1.0,0.7566,0,0.6,partial match,0.5
381,0.08,1.0,0.4723,0,0.11,no match,0.0
382,0.0,0.8,0.4915,0,0.38,no match,0.0
383,0.0,0.8,0.6359,0,0.34,no match,0.0
384,0.0,0.67,0.4611,0,0.09,no match,0.0
385,0.0,0.29,0.4853,0,0.3,no match,0.0
386,0.0,1.0,0.551,0,0.61,partial match,0.5
387,0.25,1.0,0.6843,1,0.09,no match,0.0
388,0.0,1.0,0.5918,0,0.32,no match,0.0
389,0.14,1.0,0.496,0,0.38,no match,0.0
390,0.17,1.0,0.5171,0,0.6,partial match,0.5
391,0.0,1.0,0.6836,0,0.27,no match,0.0
392,0.0,0.75,0.4198,0,0.63,partial match,0.5
393,0.38,1.0,0.6339,1,0.51,partial match,0.5
394,0.0,0.38,0.6179,0,0.2,no match,0.0
395,0.0,0.5,0.5074,0,0.1,no match,0.0
396,0.33,1.0,0.6319,1,0.96,match,1.0
397,0.0,1.0,0.4923,0,0.19,no match,0.0
398,0.0,1.0,0.6413,0,0.37,no match,0.0
399,0.71,1.0,0.6645,1,0.85,match,1.0
400,0.14,1.0,0.6416,1,0.07,no match,0.0
401,0.25,1.0,0.5067,0,0.38,no match,0.0
402,0.0,0.5,0.5783,0,0.5,partial match,0.5
403,0.0,0.71,0.415,0,0.08,no match,0.0
404,0.62,1.0,0.7157,1,0.81,match,1.0
405,0.29,1.0,0.6624,1,0.83,match,1.0
406,0.0,0.33,0.5278,0,0.38,no match,0.0
407,0.0,1.0,0.485,0,0.71,partial match,0.5
408,0.0,0.43,0.4539,0,0.68,partial match,0.5
409,0.67,1.0,0.6548,1,0.76,match,1.0
410,0.0,1.0,0.4812,0,0.2,no match,0.0
411,0.43,1.0,0.6754,1,0.86,match,1.0
412,0.0,1.0,0.5836,0,0.36,no match,0.0
413,0.0,1.0,0.5963,0,0.7,partial match,0.5
414,0.43,1.0,0.7101,1,0.79,match,1.0
415,0.0,1.0,0.478,0,0.13,no match,0.0
416,0.0,1.0,0.4674,0,0.48,partial match,0.5
417,0.0,0.43,0.4536,0,0.26,no match,0.0
418,0.8,0.4,0.693,1,0.78,match,1.0
419,0.11,1.0,0.6914,1,0.86,match,1.0
420,0.0,0.5,0.628,0,0.12,no match,0.0
421,0.11,1.0,0.5776,0,0.3,no match,0.0
422,0.0,1.0,0.5693,0,0.25,no match,0.0
423,0.55,0.78,0.629,1,0.83,match,1.0
424,0.0,1.0,0.4483,0,0.3,no match,0.0
425,0.33,0.67,0.6623,1,0.93,match,1.0
426,0.11,1.0,0.6194,0,0.32,no match,0.0
427,0.0,1.0,0.5696,0,0.06,no match,0.0
428,0.0,1.0,0.4471,0,0.35,no match,0.0
429,0.2,0.33,0.731,1,0.69,partial match,0.5
430,0.6,0.25,0.7465,1,0.81,match,1.0
431,0.0,1.0,0.5705,0,0.71,partial match,0.5
432,0.75,1.0,0.7098,0,0.75,match,1.0
433,0.5,0.75,0.7071,1,0.8,match,1.0
434,0.17,0.62,0.5069,0,0.34,no match,0.0
435,0.0,0.5,0.4585,0,0.25,no match,0.0
436,0.0,0.71,0.6017,1,0.55,partial match,0.5
437,0.5,0.62,0.7198,1,0.85,match,1.0
438,0.0,1.0,0.5254,0,0.39,no match,0.0
439,0.33,1.0,0.5559,0,0.7,partial match,0.5
440,0.14,1.0,0.6735,0,0.58,partial match,0.5
441,0.5,0.33,0.7355,0,0.89,match,1.0
442,0.0,1.0,0.6004,0,0.26,no match,0.0
443,0.22,0.5,0.6283,1,0.84,match,1.0
444,0.25,0.8,0.6563,1,0.96,match,1.0
445,0.11,0.44,0.5864,0,0.54,partial match,0.5
446,0.0,1.0,0.5723,0,0.39,no match,0.0
447,0.33,1.0,0.6883,1,0.98,match,1.0
448,0.22,0.86,0.6776,1,0.43,partial match,0.5
449,0.2,1.0,0.6674,0,0.42,partial match,0.5
450,0.14,0.29,0.6328,0,0.14,no match,0.0
451,0.1,1.0,0.7129,0,0.44,partial match,0.5
452,0.43,1.0,0.7692,1,0.84,match,1.0
453,0.0,1.0,0.5918,0,0.23,no match,0.0
454,0.2,0.67,0.5365,0,0.21,no match,0.0
455,0.25,0.33,0.4307,0,0.47,partial match,0.5
456,0.0,1.0,0.616,1,0.23,no match,0.0
457,0.5,0.29,0.6784,1,0.88,match,1.0
458,0.18,0.88,0.6204,0,0.73,partial match,0.5
459,0.0,1.0,0.6216,0,0.62,partial match,0.5
460,0.33,1.0,0.5797,0,0.39,no match,0.0
461,0.0,1.0,0.4965,0,0.07,no match,0.0
462,0.0,0.86,0.4695,0,0.46,partial match,0.5
463,0.0,1.0,0.6416,1,0.64,partial match,0.5
464,0.5,0.5,0.6106,0,0.34,no match,0.0
465,0.0,1.0,0.5425,1,0.22,no match,0.0
466,0.0,1.0,0.4136,0,0.13,no match,0.0
467,0.25,0.67,0.7261,0,0.88,match,1.0
468,0.75,1.0,0.6714,1,0.87,match,1.0
469,0.33,1.0,0.6945,1,0.87,match,1.0
470,0.0,0.62,0.5681,1,0.12,no match,0.0
471,0.22,1.0,0.7246,1,0.9,match,1.0
472,0.0,1.0,0.7141,0,0.62,partial match,0.5
473,0.0,0.33,0.5001,0,0.23,no match,0.0
474,0.25,0.8,0.547,1,0.35,no match,0.0
475,0.0,1.0,0.5678,0,0.08,no match,0.0
476,0.75,0.5,0.7114,1,0.82,match,1.0
477,0.33,0.67,0.6565,1,0.8,match,1.0
478,0.25,1.0,0.6831,1,0.75,match,1.0
479,0.0,1.0,0.6278,0,0.09,no match,0.0
480,0.33,1.0,0.6054,0,0.78,match,1.0
481,0.0,1.0,0.5583,0,0.58,partial match,0.5
482,0.0,1.0,0.579,0,0.63,partial match,0.5
483,0.0,1.0,0.5769,0,0.52,partial match,0.5
484,0.5,1.0,0.7154,1,0.76,match,1.0
485,0.4,1.0,0.6473,1,0.93,match,1.0
486,0.0,1.0,0.5492,0,0.56,partial match,0.5
487,0.0,1.0,0.5153,0,0.36,no match,0.0
488,0.57,0.57,0.6538,1,0.95,match,1.0
489,0.0,1.0,0.4459,0,0.35,no match,0.0
490,0.0,1.0,0.5148,0,0.14,no match,0.0
491,0.0,1.0,0.6705,0,0.72,partial match,0.5
492,0.0,1.0,0.467,0,0.6,partial match,0.5
493,0.0,0.67,0.4858,0,0.3,no match,0.0
494,0.2,1.0,0.5212,0,0.3,no match,0.0
495,0.0,0.83,0.5375,0,0.55,partial match,0.5
496,0.0,0.22,0.7249,0,0.79,match,1.0
497,0.83,1.0,0.6995,1,0.96,match,1.0
