job_title,company,location,employment_type,experience,salary,team_size,interview_rounds,required_skills,nice_to_have,perks,domain
Group Product Manager,Lenskart,Mumbai / Remote,Full-Time,5+ years,₹12–27 LPA,~17,4,"Usability Testing, JIRA, A/B Testing, Customer Discovery, Miro, KPIs, RICE Framework, User Research, Agile","Mixpanel, Confluence, Roadmapping","Remote-first culture, Quarterly offsites, Mental health support, Annual performance bonus, Health & dental insurance, Maternity/paternity leave",Product Management
CISO,Meta,Ahmedabad / Remote,Full-Time,4+ years,₹23–72 LPA,~21,5,"Bash, Threat Intelligence, Wireshark, SOC Operations, CEH, Metasploit, Zero Trust, IAM, CISSP, OSCP","Burp Suite, ISO 27001, Penetration Testing","Flexible work hours, ESOPs, Maternity/paternity leave, ₹50K learning budget",Cybersecurity
Cloud Security Engineer,Amazon,Kochi / Remote,Full-Time,1+ years,₹15–60 LPA,~39,6,"OWASP Top 10, Firewalls, Network Security, Zero Trust, Vulnerability Assessment, Wireshark","Bash, Splunk, Cloud Security (AWS/GCP)","Remote-first culture, MacBook Pro, Free meals, Annual performance bonus, Health & dental insurance",Cybersecurity
Growth Manager,Flipkart,Pune / Remote,Full-Time,9+ years,₹11–28 LPA,~20,6,"Salesforce, SEM, Conversion Rate Optimisation, Influencer Marketing, Copywriting, SEO, Affiliate Marketing, Email Marketing, Content Marketing","Marketing Automation, Growth Hacking, Meta Ads","Gym membership, Health & dental insurance, ESOPs, Annual performance bonus, Mental health support, ₹50K learning budget",Marketing
Director of Product,Vedantu,Hyderabad / Remote,Full-Time,2+ years,₹22–70 LPA,~38,6,"SQL, Scrum, Miro, Confluence, Figma, JIRA, Amplitude, KPIs, Feature Prioritisation, Stakeholder Management","Product Analytics, Wireframing, RICE Framework","Quarterly offsites, ₹50K learning budget, Gym membership, Free meals, Health & dental insurance",Product Management
Security Engineer,Zerodha,Ahmedabad / Remote,Full-Time,4+ years,₹26–57 LPA,~36,5,"DLP, Python, Forensics, Cloud Security (AWS/GCP), Threat Intelligence, Splunk, OWASP Top 10, ISO 27001","SIEM, Vulnerability Assessment, Wireshark","₹50K learning budget, Free meals, Mental health support, ESOPs, Annual performance bonus",Cybersecurity
Finance Manager,upGrad,Noida / Remote,Full-Time,1+ years,₹30–66 LPA,~9,3,"Accounting, LBO Modeling, Auditing, Financial Modeling, FP&A, Bloomberg Terminal, CFA, Risk Analysis","Valuation, Credit Analysis, Equity Research","Free meals, Gym membership, Flexible work hours, Quarterly offsites, MacBook Pro",Finance
Director of Product,Cognizant,Kolkata / Remote,Full-Time,8+ years,₹17–28 LPA,~19,5,"Mixpanel, Product Analytics, Go-to-Market Strategy, A/B Testing, MoSCoW, Growth Hacking, Roadmapping, Usability Testing, Customer Discovery, Scrum","Miro, Confluence, PRD Writing","Maternity/paternity leave, Free meals, ₹50K learning budget, MacBook Pro, Gym membership, Health & dental insurance",Product Management
Group Product Manager,upGrad,Noida / Remote,Full-Time,7+ years,₹23–44 LPA,~17,4,"A/B Testing, PRD Writing, RICE Framework, Competitive Analysis, Product Analytics, KPIs","Roadmapping, JIRA, Agile","Annual performance bonus, MacBook Pro, Flexible work hours, Remote-first culture, Health & dental insurance",Product Management
SDR,IBM,Jaipur / Remote,Full-Time,3+ years,₹12–48 LPA,~9,3,"Contract Negotiation, Lead Generation, BDR, SDR, Enterprise Sales, Customer Success, Upselling","Cross-selling, B2B Sales, Salesforce","Gym membership, Health & dental insurance, Remote-first culture, ₹50K learning budget",Sales
SOC Analyst,Meesho,Mumbai / Remote,Full-Time,7+ years,₹15–25 LPA,~23,4,"CEH, SOC Operations, Penetration Testing, Bash, Wireshark, OSCP, OWASP Top 10, IAM, Forensics, Incident Response","Network Security, DLP, Burp Suite","ESOPs, Flexible work hours, Health & dental insurance, Gym membership",Cybersecurity
Financial Analyst,PhonePe,Mumbai / Remote,Full-Time,9+ years,₹13–43 LPA,~27,4,"VBA, Tally, GAAP, Excel, Cash Flow Management, Risk Analysis","Tax Compliance, Equity Research, DCF Analysis","Remote-first culture, ESOPs, Quarterly offsites, Mental health support, Annual performance bonus, ₹50K learning budget",Finance
HR Business Partner,Goldman Sachs,Bangalore / Remote,Full-Time,4+ years,₹19–43 LPA,~31,5,"Workday, Onboarding, Organisational Development, Payroll, Employee Relations, SAP HR, Labor Law, Training & Development, Exit Management","LinkedIn Recruiter, HR Analytics, Workforce Planning","ESOPs, MacBook Pro, Mental health support, ₹50K learning budget",Human Resources
Senior AE,Uber,Bangalore / Remote,Full-Time,5+ years,₹22–67 LPA,~21,3,"Cold Outreach, Customer Success, SDR, Revenue Forecasting, Negotiation, SPIN Selling","HubSpot, B2B Sales, MEDDIC","Maternity/paternity leave, ESOPs, Gym membership, Quarterly offsites",Sales
Sales Manager,boAt,Pune / Remote,Full-Time,6+ years,₹19–47 LPA,~11,6,"Revenue Forecasting, Cold Outreach, HubSpot, Lead Generation, CRM, LinkedIn Sales Navigator","SDR, Solution Selling, Cross-selling","Mental health support, Flexible work hours, Quarterly offsites, Gym membership, Annual performance bonus, Maternity/paternity leave",Sales
Head of DevOps,Byju's,Ahmedabad / Remote,Full-Time,9+ years,₹26–49 LPA,~19,5,"EKS, Prometheus, GCP, Linux, AWS, Consul","CloudFormation, Infrastructure as Code, Pulumi","Annual performance bonus, Mental health support, ESOPs, ₹50K learning budget, Free meals, Quarterly offsites",DevOps
Data Analyst,EY,Ahmedabad / Remote,Full-Time,3+ years,₹15–50 LPA,~21,6,"NLP, Transformers, NumPy, TensorFlow, Tableau, PostgreSQL","Airflow, Kafka, Scikit-learn","Maternity/paternity leave, Mental health support, Health & dental insurance, Free meals",Data Science
ML Engineer,Nykaa,Delhi / Remote,Full-Time,5+ years,₹22–63 LPA,~32,4,"Kubeflow, MLflow, Keras, Computer Vision, Tableau, Kafka","BigQuery, Redshift, R","Flexible work hours, Maternity/paternity leave, Free meals, Mental health support",Data Science
Content Strategist,Goldman Sachs,Pune / Remote,Full-Time,8+ years,₹19–60 LPA,~11,6,"PR, SEM, CRM, Content Marketing, Community Management, Adobe Suite","Social Media, HubSpot, Email Marketing","₹50K learning budget, Health & dental insurance, Free meals, Quarterly offsites",Marketing
Recruiter,Wipro,Bangalore / Remote,Full-Time,8+ years,₹22–40 LPA,~17,3,"Employee Relations, Labor Law, Workforce Planning, SuccessFactors, Employer Branding, HR Analytics, HRIS, SAP HR","Talent Acquisition, Diversity & Inclusion, Performance Management","₹50K learning budget, Remote-first culture, ESOPs, MacBook Pro, Health & dental insurance",Human Resources
Recruiter,Tech Mahindra,Pune / Remote,Full-Time,5+ years,₹9–48 LPA,~36,6,"Diversity & Inclusion, Talent Acquisition, HRIS, Payroll, SAP HR, Performance Management","Employer Branding, Conflict Resolution, Onboarding","MacBook Pro, Mental health support, Annual performance bonus, Quarterly offsites, Gym membership",Human Resources
Head of HR,Deloitte,Chennai / Remote,Full-Time,5+ years,₹19–46 LPA,~24,3,"HRIS, Change Management, Employer Branding, Workday, HRMS, Exit Management, HR Analytics","Talent Acquisition, SAP HR, Employee Relations","Quarterly offsites, Maternity/paternity leave, Gym membership, Remote-first culture, Health & dental insurance, Free meals",Human Resources
Investment Analyst,Uber,Jaipur / Remote,Full-Time,4+ years,₹27–65 LPA,~23,4,"CA, Accounting, Cash Flow Management, Tax Compliance, Tally, Investment Banking, Equity Research, Financial Modeling","QuickBooks, CFA, Financial Reporting","₹50K learning budget, Annual performance bonus, ESOPs, Remote-first culture, Health & dental insurance, Flexible work hours",Finance
Business Development Manager,Amazon,Hyderabad / Remote,Full-Time,6+ years,₹14–64 LPA,~11,5,"Demo Skills, Revenue Forecasting, Cross-selling, Upselling, Negotiation, Proposal Writing, SPIN Selling, SDR, Pipeline Management, Channel Partnerships","B2B Sales, MEDDIC, SaaS Sales","Free meals, ₹50K learning budget, Mental health support, Flexible work hours, Remote-first culture",Sales
CISO,Zoho,Ahmedabad / Remote,Full-Time,4+ years,₹30–45 LPA,~6,5,"DLP, SIEM, Network Security, NIST Framework, Bash, ISO 27001, Metasploit, Forensics","Zero Trust, SOC Operations, Threat Intelligence","Free meals, ESOPs, Flexible work hours, Annual performance bonus, Remote-first culture",Cybersecurity
People Ops Manager,Airbnb,Bangalore / Remote,Full-Time,4+ years,₹13–33 LPA,~12,3,"Performance Management, Conflict Resolution, LinkedIn Recruiter, Training & Development, Employee Relations, HRMS","Diversity & Inclusion, Workforce Planning, SuccessFactors","Annual performance bonus, Free meals, Quarterly offsites, Remote-first culture, Mental health support, Maternity/paternity leave",Human Resources
Senior PM,Google,Gurgaon / Remote,Full-Time,9+ years,₹11–54 LPA,~39,6,"MoSCoW, A/B Testing, Scrum, Customer Discovery, Go-to-Market Strategy, PRD Writing, Amplitude, Feature Prioritisation, KPIs","Stakeholder Management, Mixpanel, Figma","₹50K learning budget, Quarterly offsites, Flexible work hours, MacBook Pro",Product Management
ML Engineer,Zoho,Ahmedabad / Remote,Full-Time,5+ years,₹21–63 LPA,~19,4,"SQL, Computer Vision, Redshift, Airflow, Feature Engineering, LightGBM, Data Modeling, Python","Transformers, Time Series, Spark","Gym membership, Mental health support, Annual performance bonus, ESOPs",Data Science
Talent Acquisition Specialist,Browserstack,Hyderabad / Remote,Full-Time,4+ years,₹26–55 LPA,~21,4,"Succession Planning, Employee Relations, Training & Development, Conflict Resolution, HRMS, Performance Management, Labor Law","Workforce Planning, HRIS, Talent Acquisition","Quarterly offsites, MacBook Pro, Gym membership, Mental health support, ₹50K learning budget",Human Resources
Performance Marketer,PhonePe,Chennai / Remote,Full-Time,3+ years,₹9–25 LPA,~32,4,"Conversion Rate Optimisation, Growth Hacking, Marketo, HubSpot, LinkedIn Ads, CRM, Content Marketing, Social Media, Google Ads","Google Analytics, Marketing Automation, Programmatic Advertising","Annual performance bonus, Remote-first culture, Flexible work hours, Health & dental insurance, Gym membership, ESOPs",Marketing
Finance Manager,Atlassian,Kochi / Remote,Full-Time,2+ years,₹27–73 LPA,~28,5,"M&A, CFA, Tally, Cash Flow Management, DCF Analysis, Treasury, Equity Research, FP&A","Auditing, Oracle Financials, QuickBooks","₹50K learning budget, Quarterly offsites, Gym membership, Free meals",Finance
Product Manager,Razorpay,Bangalore / Remote,Full-Time,1+ years,₹17–33 LPA,~18,5,"Stakeholder Management, Growth Hacking, Mixpanel, Scrum, Roadmapping, Usability Testing, SQL, Agile, JIRA","Python, Go-to-Market Strategy, Product Analytics","Annual performance bonus, Maternity/paternity leave, Free meals, Gym membership",Product Management
Senior Financial Analyst,Nykaa,Pune / Remote,Full-Time,2+ years,₹26–65 LPA,~27,6,"FP&A, QuickBooks, IFRS, Equity Research, VBA, Accounting, Tally, Auditing, CFA","Credit Analysis, Due Diligence, M&A","Health & dental insurance, ESOPs, ₹50K learning budget, Quarterly offsites, Flexible work hours, MacBook Pro",Finance
VP Sales,HCL,Chennai / Remote,Full-Time,1+ years,₹12–32 LPA,~38,4,"Account Management, HubSpot, Cold Outreach, Negotiation, Proposal Writing, Enterprise Sales, BDR","Cross-selling, B2B Sales, Contract Negotiation","MacBook Pro, Maternity/paternity leave, Quarterly offsites, ESOPs",Sales
Cloud Security Engineer,Apple,Gurgaon / Remote,Full-Time,5+ years,₹18–50 LPA,~34,5,"CISSP, Zero Trust, Wireshark, OWASP Top 10, Metasploit, Splunk, SOC Operations, Python, Cryptography, Vulnerability Assessment","Penetration Testing, OSCP, Burp Suite","Maternity/paternity leave, Remote-first culture, Quarterly offsites, Health & dental insurance, Gym membership, Flexible work hours",Cybersecurity
Cloud Security Engineer,Amazon,Pune / Remote,Full-Time,4+ years,₹24–49 LPA,~30,6,"Firewalls, Threat Intelligence, Metasploit, Splunk, Network Security, SOC Operations, CEH, Penetration Testing, PKI, IAM","Python, Cryptography, Zero Trust","Gym membership, ₹50K learning budget, Annual performance bonus, Quarterly offsites",Cybersecurity
VP Sales,Swiggy,Ahmedabad / Remote,Full-Time,8+ years,₹15–36 LPA,~6,6,"Lead Generation, Account Management, CRM, Cold Outreach, LinkedIn Sales Navigator, Proposal Writing, Revenue Forecasting, BDR","SDR, Channel Partnerships, Salesforce","Flexible work hours, Maternity/paternity leave, Annual performance bonus, Mental health support",Sales
Group Product Manager,InMobi,Mumbai / Remote,Full-Time,4+ years,₹17–62 LPA,~20,6,"JIRA, Python, Growth Hacking, OKRs, Competitive Analysis, A/B Testing","Go-to-Market Strategy, Agile, Figma","Gym membership, Flexible work hours, Remote-first culture, Maternity/paternity leave",Product Management
Cloud Security Engineer,boAt,Chennai / Remote,Full-Time,5+ years,₹8–33 LPA,~28,5,"PKI, Cloud Security (AWS/GCP), Threat Intelligence, Bash, SIEM, OSCP, Python, Penetration Testing, Forensics","Cryptography, Network Security, DLP","Health & dental insurance, Flexible work hours, MacBook Pro, Gym membership, Free meals, Remote-first culture",Cybersecurity
Frontend Developer,Swiggy,Mumbai / Remote,Full-Time,8+ years,₹28–69 LPA,~14,3,"Microservices, GCP, Angular, Kafka, Rust, PostgreSQL, JavaScript","System Design, AWS, Jenkins","₹50K learning budget, Remote-first culture, Gym membership, Annual performance bonus, Quarterly offsites",Software Engineering
Cloud Architect,Oracle,Noida / Remote,Full-Time,3+ years,₹23–67 LPA,~13,3,"GCP, Nginx, Linux, GKE, Prometheus, New Relic","GitHub Actions, Istio, Docker","₹50K learning budget, Health & dental insurance, Remote-first culture, ESOPs, Maternity/paternity leave",DevOps
Senior PM,PhonePe,Ahmedabad / Remote,Full-Time,1+ years,₹15–38 LPA,~18,4,"Amplitude, User Research, Agile, A/B Testing, MoSCoW, Growth Hacking, OKRs","Competitive Analysis, SQL, Figma","Remote-first culture, Mental health support, Flexible work hours, MacBook Pro",Product Management
CHRO,Salesforce,Ahmedabad / Remote,Full-Time,3+ years,₹25–44 LPA,~40,5,"HR Analytics, Organisational Development, Performance Management, Change Management, Labor Law, Diversity & Inclusion, HRIS, Employee Relations, Employer Branding","Workforce Planning, Talent Acquisition, Workday","Annual performance bonus, Remote-first culture, Maternity/paternity leave, Flexible work hours, Free meals, Gym membership",Human Resources
Penetration Tester,Goldman Sachs,Ahmedabad / Remote,Full-Time,3+ years,₹21–44 LPA,~38,3,"Cryptography, IAM, NIST Framework, Incident Response, Vulnerability Assessment, Forensics, Python, OSCP","DLP, ISO 27001, Burp Suite","Health & dental insurance, Quarterly offsites, Maternity/paternity leave, MacBook Pro, ₹50K learning budget",Cybersecurity
Growth PM,Mphasis,Pune / Remote,Full-Time,5+ years,₹20–52 LPA,~17,3,"Roadmapping, KPIs, Growth Hacking, Figma, Go-to-Market Strategy, JIRA, Kanban, Wireframing, Customer Discovery, Product Analytics","Competitive Analysis, User Research, PRD Writing","Maternity/paternity leave, Flexible work hours, Free meals, Quarterly offsites, Health & dental insurance, Annual performance bonus",Product Management
Backend Developer,TCS,Noida / Remote,Full-Time,5+ years,₹29–74 LPA,~13,6,"React, gRPC, AWS, Kafka, REST APIs, SQL, Terraform, Django, JavaScript, Microservices","GCP, Git, Azure","Quarterly offsites, Health & dental insurance, MacBook Pro, Remote-first culture, ESOPs",Software Engineering
Platform Engineer,Razorpay,Delhi / Remote,Full-Time,3+ years,₹15–57 LPA,~6,4,"Terraform, CloudFormation, Python, ArgoCD, EKS, Service Mesh, Ansible","Vault, Kubernetes, New Relic","Quarterly offsites, Remote-first culture, Annual performance bonus, Maternity/paternity leave, ESOPs",DevOps
Platform PM,Cognizant,Ahmedabad / Remote,Full-Time,7+ years,₹24–67 LPA,~14,3,"Miro, Competitive Analysis, Go-to-Market Strategy, KPIs, Amplitude, OKRs, Usability Testing, User Research, Python, Customer Discovery","Growth Hacking, A/B Testing, MoSCoW","Health & dental insurance, MacBook Pro, Flexible work hours, ₹50K learning budget",Product Management
Head of DevOps,Ola,Hyderabad / Remote,Full-Time,6+ years,₹26–67 LPA,~38,5,"Bash, Service Mesh, AWS, ArgoCD, Istio, Linux, Loki","Terraform, Grafana, Python","Health & dental insurance, Maternity/paternity leave, Quarterly offsites, Mental health support",DevOps
Brand Manager,Freshworks,Kolkata / Remote,Full-Time,1+ years,₹30–41 LPA,~13,6,"Growth Hacking, Content Marketing, Video Marketing, Salesforce, Adobe Suite, SEO, Brand Strategy, Conversion Rate Optimisation, Social Media","HubSpot, Email Marketing, PPC","MacBook Pro, ESOPs, Health & dental insurance, Quarterly offsites, ₹50K learning budget",Marketing
Computer Vision Engineer,Tech Mahindra,Delhi / Remote,Full-Time,9+ years,₹26–72 LPA,~14,3,"BigQuery, Statistics, Transformers, Hive, PyTorch, dbt, Kubeflow, SQL, Hadoop","Power BI, Looker, Hypothesis Testing","Mental health support, Maternity/paternity leave, ₹50K learning budget, Free meals, Annual performance bonus",Data Science
AI Engineer,HCL,Jaipur / Remote,Full-Time,1+ years,₹23–52 LPA,~38,4,"Hive, NumPy, BigQuery, Scikit-learn, NLP, Airflow, R","SQL, BERT, Hypothesis Testing","₹50K learning budget, ESOPs, MacBook Pro, Remote-first culture, Quarterly offsites",Data Science
Data Analyst,Meesho,Jaipur / Remote,Full-Time,7+ years,₹15–61 LPA,~12,4,"XGBoost, Looker, LightGBM, BERT, NumPy, Scikit-learn, Computer Vision","Hive, A/B Testing, R","Health & dental insurance, Quarterly offsites, ESOPs, ₹50K learning budget",Data Science
Brand Manager,Flipkart,Kolkata / Remote,Full-Time,6+ years,₹10–34 LPA,~33,5,"Influencer Marketing, Email Marketing, PPC, Community Management, Google Ads, Social Media, Copywriting, Marketo, Growth Hacking","SEO, Market Research, SEM","Gym membership, MacBook Pro, Quarterly offsites, ESOPs",Marketing
SOC Analyst,Oracle,Chennai / Remote,Full-Time,1+ years,₹23–56 LPA,~27,5,"Firewalls, Threat Intelligence, Wireshark, OSCP, PKI, OWASP Top 10, Splunk","SIEM, Metasploit, IAM","Maternity/paternity leave, Flexible work hours, Remote-first culture, Free meals, ₹50K learning budget, Gym membership",Cybersecurity
Senior AE,Wipro,Delhi / Remote,Full-Time,6+ years,₹8–38 LPA,~18,6,"Customer Success, Negotiation, Upselling, MEDDIC, LinkedIn Sales Navigator, HubSpot, Lead Generation, Salesforce, SPIN Selling","Account Management, B2B Sales, SDR","Free meals, Gym membership, Health & dental insurance, ESOPs, Flexible work hours",Sales
Security Engineer,EY,Pune / Remote,Full-Time,3+ years,₹21–65 LPA,~20,5,"Penetration Testing, Bash, DLP, IAM, Threat Intelligence, Wireshark, Network Security, Cryptography","OSCP, Firewalls, Metasploit","Gym membership, Flexible work hours, Annual performance bonus, MacBook Pro",Cybersecurity
Product Manager,Goldman Sachs,Bangalore / Remote,Full-Time,5+ years,₹20–43 LPA,~34,5,"RICE Framework, Feature Prioritisation, Agile, PRD Writing, KPIs, OKRs, Go-to-Market Strategy, Figma","Growth Hacking, Stakeholder Management, MoSCoW","Quarterly offsites, ₹50K learning budget, Gym membership, ESOPs",Product Management
HR Generalist,Uber,Gurgaon / Remote,Full-Time,1+ years,₹27–63 LPA,~7,4,"Employee Relations, SAP HR, Conflict Resolution, Onboarding, HR Analytics, Succession Planning, Workforce Planning, Training & Development, Change Management","HRMS, HRIS, Employer Branding","Mental health support, Health & dental insurance, ₹50K learning budget, Remote-first culture",Human Resources
AI Engineer,OYO,Noida / Remote,Full-Time,1+ years,₹8–26 LPA,~8,3,"Power BI, Time Series, Redshift, Tableau, Feature Engineering, PyTorch, MLflow, Hypothesis Testing, TensorFlow","BigQuery, Spark, XGBoost","MacBook Pro, Health & dental insurance, Annual performance bonus, ₹50K learning budget, Gym membership, Mental health support",Data Science
UX Designer,Razorpay,Gurgaon / Remote,Full-Time,5+ years,₹9–41 LPA,~36,3,"A/B Testing, Prototyping, InVision, Heuristic Evaluation, HTML/CSS, Design Systems, User Research","Usability Testing, Design Thinking, Zeplin","MacBook Pro, ₹50K learning budget, ESOPs, Annual performance bonus, Maternity/paternity leave",UI/UX Design
HR Business Partner,Airbnb,Noida / Remote,Full-Time,5+ years,₹13–38 LPA,~27,5,"HRMS, Payroll, Onboarding, Conflict Resolution, LinkedIn Recruiter, Workforce Planning, HR Analytics, Employee Relations, SuccessFactors, Talent Acquisition","Performance Management, Employer Branding, Training & Development","Mental health support, MacBook Pro, Health & dental insurance, Gym membership, ESOPs",Human Resources
Performance Marketer,Deloitte,Hyderabad / Remote,Full-Time,2+ years,₹29–58 LPA,~33,6,"SEM, Influencer Marketing, LinkedIn Ads, Salesforce, Video Marketing, Marketing Automation, PR, Google Ads","Community Management, Copywriting, SEO","Quarterly offsites, ₹50K learning budget, ESOPs, MacBook Pro",Marketing
Brand Manager,Microsoft,Chennai / Remote,Full-Time,7+ years,₹22–53 LPA,~38,5,"Google Ads, Brand Strategy, PPC, Marketo, Meta Ads, HubSpot, CRM, Affiliate Marketing, Copywriting","Influencer Marketing, Community Management, LinkedIn Ads","Annual performance bonus, Flexible work hours, Free meals, Health & dental insurance",Marketing
CHRO,Groww,Chennai / Remote,Full-Time,6+ years,₹8–55 LPA,~37,4,"Change Management, Workforce Planning, Compensation & Benefits, HRMS, Talent Acquisition, Payroll, HR Analytics","Workday, HRIS, Organisational Development","MacBook Pro, Annual performance bonus, Health & dental insurance, Mental health support, Flexible work hours, ₹50K learning budget",Human Resources
Associate PM,upGrad,Kolkata / Remote,Full-Time,4+ years,₹22–53 LPA,~15,6,"Product Analytics, MoSCoW, Mixpanel, A/B Testing, Figma, SQL, Miro","Kanban, Roadmapping, Customer Discovery","MacBook Pro, ₹50K learning budget, Mental health support, Annual performance bonus, Remote-first culture, Quarterly offsites",Product Management
Infrastructure Engineer,PwC,Pune / Remote,Full-Time,6+ years,₹18–29 LPA,~36,4,"ArgoCD, GitHub Actions, Helm, CloudFormation, HAProxy, Grafana, Jenkins, Pulumi","FluxCD, GitLab CI, GCP","Maternity/paternity leave, Quarterly offsites, Gym membership, Annual performance bonus, ESOPs, Health & dental insurance",DevOps
